id,lang,bName,sNum,sProportion,langRank
432,South Asian Language: Bengali (with Sylheti and Chatgaya),Camden,6449,0.03972869,2
433,French,Camden,4225,0.65514033,3
434,Spanish,Camden,3107,0.73538462,4
435,Other European Language (EU): Italian,Camden,2626,0.84518828,5
436,African Language: Somali,Camden,2545,0.96915461,6
437,Other European Language (EU): German,Camden,2193,0.86168959,7
438,Arabic,Camden,2171,0.98996808,8
439,Other European Language (non EU): Albanian,Camden,2043,0.94104099,9
440,Portuguese,Camden,2004,0.98091043,10
441,Other European Language (EU): Polish,Camden,1944,0.97005988,11
442,East Asian Language: All other Chinese,Camden,1761,0.9058642,12
443,Other European Language (EU): Greek,Camden,1714,0.97331062,13
444,East Asian Language: Japanese,Camden,1609,0.93873979,14
445,West or Central Asian Language: Persian-Farsi,Camden,1265,0.78620261,15
446,Russian,Camden,1147,0.90671937,16
447,East Asian Language: Tagalog-Filipino,Camden,1012,0.88230166,17
448,Turkish,Camden,708,0.69960474,18
449,Other European Language (EU): Swedish,Camden,706,0.99717514,19
450,West or Central Asian Language: Hebrew,Camden,650,0.92067989,20
451,East Asian Language: Cantonese Chinese,Camden,527,0.81076923,21
452,East Asian Language: Korean,Camden,523,0.99240987,22
453,African Language: Tigrinya,Camden,484,0.92543021,23
454,Other European Language (EU): Dutch,Camden,480,0.99173554,24
455,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Camden,438,0.9125,25
456,Other European Language (EU): Hungarian,Camden,368,0.84018265,26
457,East Asian Language: Mandarin Chinese,Camden,360,0.97826087,27
458,South Asian Language: Urdu,Camden,358,0.99444444,28
459,African Language: Amharic,Camden,343,0.95810056,29
460,West Central Asian Language: Kurdish,Camden,338,0.98542274,30
461,East Asian Language: Thai,Camden,317,0.93786982,31
462,West-Central Asian Language: Pashto,Camden,308,0.97160883,32
463,Other European Language (EU): Romanian,Camden,289,0.93831169,33
464,Other European Language (non EU): Northern European Language (non EU),Camden,284,0.98269896,34
465,West or Central Asian Language: West or Central Asian Language (all other),Camden,274,0.96478873,35
466,Other European Language (EU): Danish,Camden,263,0.95985401,36
467,South Asian Language: Gujarati,Camden,260,0.98859316,37
468,Other European Language (EU): Bulgarian,Camden,244,0.93846154,38
469,African Language: African language (all other),Camden,233,0.95491803,39
470,Other European Language (EU): Finnish,Camden,203,0.87124464,40
471,Other European Language (EU): Czech,Camden,202,0.99507389,41
472,South Asian Language: Hindi,Camden,194,0.96039604,42
473,Other European Language (EU): Slovak,Camden,185,0.95360825,43
474,Other European Language (EU): Lithuanian,Camden,172,0.92972973,44
475,East Asian Language: East Asian Language (all other),Camden,156,0.90697674,45
476,African Language: Lingala,Camden,151,0.96794872,46
477,South Asian Language: South Asian Language (all other),Camden,149,0.98675497,47
478,Other Languages: All other languages,Camden,140,0.93959732,48
479,East Asian Language: Malay,Camden,139,0.99285714,49
480,South Asian Language: Nepalese,Camden,129,0.92805755,50
481,Other European Language (EU): Any other European Language (EU),Camden,128,0.99224806,51
482,East Asian Language: Vietnamese,Camden,100,0.78125,52
483,African Language: Akan,Camden,94,0.94,53
484,South Asian Language: Tamil,Camden,76,0.80851064,54
485,South Asian Language: Sinhala,Camden,66,0.86842105,55
486,Sign Language: British sign language,Camden,65,0.98484848,56
487,African Language: Yoruba,Camden,63,0.96923077,57
488,African Language: Swahili-Kiswahili,Camden,63,1,58
489,Welsh Cymraeg (in England only),Camden,58,0.92063492,59
490,Other European Language (EU): Latvian,Camden,57,0.98275862,60
491,Other UK language: Total,Camden,54,0.94736842,61
492,Other European Language (non EU): Ukrainian,Camden,54,1,62
493,African Language: West African language (all other),Camden,49,0.90740741,63
494,African Language: Afrikaans,Camden,46,0.93877551,64
495,African Language: Igbo,Camden,45,0.97826087,65
496,African Language: Any other Nigerian language,Camden,44,0.97777778,66
497,South Asian Language: Panjabi,Camden,43,0.97727273,67
498,South Asian Language: Malayalam,Camden,40,0.93023256,68
499,Other European Language (EU): Slovenian,Camden,38,0.95,69
500,Other European Language (EU): Estonian,Camden,33,0.86842105,70
501,Other European Language (EU): Maltese,Camden,28,0.84848485,71
502,Other European Language (non EU): Any other Eastern European Language (non EU),Camden,28,1,72
503,African Language: Luganda,Camden,26,0.92857143,73
504,South Asian Language: Marathi,Camden,19,0.73076923,74
505,South Asian Language: Telugu,Camden,12,0.63157895,75
506,African Language: Krio,Camden,11,0.91666667,76
507,African Language: Shona,Camden,9,0.81818182,77
508,Sign Language: Any Sign Communication System,Camden,9,1,78
509,Sign Language: Sign Language (all other),Camden,5,0.55555556,79
510,Other European Language (non-national): Romani language (any),Camden,3,0.6,80
511,North-South American language (any),Camden,3,1,81
512,Oceanic - Australian language (any),Camden,2,0.66666667,82
513,Other European Language (non-national): Yiddish,Camden,1,0.5,83
514,Caribbean Creole: Caribbean Creole (English-based),Camden,1,1,84
515,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Camden,0,0,85
516,Caribbean Creole: Caribbean Creole (all other),Camden,0,0,86
517,English (English or Welsh if in Wales),City of London,5976,0.82861897,1
518,French,City of London,155,0.02149196,2
519,Spanish,City of London,127,0.01760954,3
520,South Asian Language: Bengali (with Sylheti and Chatgaya),City of London,115,0.01594565,4
521,Other European Language (EU): German,City of London,86,0.01192457,5
522,Other European Language (EU): Italian,City of London,80,0.01109262,6
523,Other European Language (EU): Greek,City of London,58,0.00804215,7
524,East Asian Language: All other Chinese,City of London,48,0.00665557,8
525,Portuguese,City of London,47,0.00651692,9
526,East Asian Language: Japanese,City of London,45,0.0062396,10
527,Russian,City of London,42,0.00582363,11
528,Other European Language (EU): Dutch,City of London,30,0.00415973,12
529,Other European Language (EU): Swedish,City of London,30,0.00415973,13
530,Other European Language (EU): Polish,City of London,29,0.00402108,14
531,Arabic,City of London,25,0.00346644,15
532,East Asian Language: Tagalog-Filipino,City of London,20,0.00277316,16
533,Other European Language (EU): Danish,City of London,17,0.00235718,17
534,East Asian Language: Mandarin Chinese,City of London,17,0.00235718,18
535,East Asian Language: Korean,City of London,17,0.00235718,19
536,Other European Language (EU): Bulgarian,City of London,14,0.00194121,20
537,Other European Language (EU): Lithuanian,City of London,13,0.00180255,21
538,Other European Language (non EU): Northern European Language (non EU),City of London,13,0.00180255,22
539,Turkish,City of London,13,0.00180255,23
540,East Asian Language: Cantonese Chinese,City of London,12,0.00166389,24
541,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),City of London,11,0.00152524,25
542,West or Central Asian Language: Persian-Farsi,City of London,11,0.00152524,26
543,West or Central Asian Language: West or Central Asian Language (all other),City of London,11,0.00152524,27
544,South Asian Language: Hindi,City of London,11,0.00152524,28
545,East Asian Language: Thai,City of London,11,0.00152524,29
546,South Asian Language: Gujarati,City of London,9,0.00124792,30
547,South Asian Language: Tamil,City of London,9,0.00124792,31
548,Other European Language (EU): Romanian,City of London,8,0.00110926,32
549,Other European Language (non EU): Albanian,City of London,8,0.00110926,33
550,Other European Language (EU): Czech,City of London,7,9.71E-04,34
551,Other European Language (EU): Finnish,City of London,7,9.71E-04,35
552,East Asian Language: Malay,City of London,6,8.32E-04,36
553,Other European Language (EU): Any other European Language (EU),City of London,5,6.93E-04,37
554,Welsh Cymraeg (in England only),City of London,4,5.55E-04,38
555,Other European Language (EU): Hungarian,City of London,4,5.55E-04,39
556,West or Central Asian Language: Hebrew,City of London,4,5.55E-04,40
557,South Asian Language: South Asian Language (all other),City of London,4,5.55E-04,41
558,African Language: Amharic,City of London,4,5.55E-04,42
559,African Language: Tigrinya,City of London,4,5.55E-04,43
560,African Language: Swahili-Kiswahili,City of London,4,5.55E-04,44
561,African Language: Afrikaans,City of London,4,5.55E-04,45
562,Other European Language (EU): Slovak,City of London,3,4.16E-04,46
563,West Central Asian Language: Kurdish,City of London,3,4.16E-04,47
564,East Asian Language: Vietnamese,City of London,3,4.16E-04,48
565,African Language: Akan,City of London,3,4.16E-04,49
566,African Language: Lingala,City of London,3,4.16E-04,50
567,African Language: West African language (all other),City of London,3,4.16E-04,51
568,West-Central Asian Language: Pashto,City of London,2,2.77E-04,52
569,South Asian Language: Telugu,City of London,2,2.77E-04,53
570,African Language: Shona,City of London,2,2.77E-04,54
571,African Language: African language (all other),City of London,2,2.77E-04,55
572,Other Languages: All other languages,City of London,2,2.77E-04,56
573,Sign Language: Any Sign Communication System,City of London,2,2.77E-04,57
574,Other European Language (EU): Slovenian,City of London,1,1.39E-04,58
575,Other European Language (EU): Maltese,City of London,1,1.39E-04,59
576,Other European Language (non EU): Ukrainian,City of London,1,1.39E-04,60
577,South Asian Language: Sinhala,City of London,1,1.39E-04,61
578,East Asian Language: East Asian Language (all other),City of London,1,1.39E-04,62
579,African Language: Somali,City of London,1,1.39E-04,63
580,Sign Language: Sign Language (all other),City of London,1,1.39E-04,64
581,Other UK language: Total,City of London,0,0,65
582,Other European Language (EU): Latvian,City of London,0,0,66
583,Other European Language (EU): Estonian,City of London,0,0,67
584,Other European Language (non EU): Any other Eastern European Language (non EU),City of London,0,0,68
585,Other European Language (non-national): Romani language (any),City of London,0,0,69
586,Other European Language (non-national): Yiddish,City of London,0,0,70
587,South Asian Language: Urdu,City of London,0,0,71
588,South Asian Language: Panjabi,City of London,0,0,72
589,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),City of London,0,0,73
590,South Asian Language: Marathi,City of London,0,0,74
591,South Asian Language: Malayalam,City of London,0,0,75
592,South Asian Language: Nepalese,City of London,0,0,76
593,Oceanic - Australian language (any),City of London,0,0,77
594,North-South American language (any),City of London,0,0,78
595,Caribbean Creole: Caribbean Creole (English-based),City of London,0,0,79
596,Caribbean Creole: Caribbean Creole (all other),City of London,0,0,80
597,African Language: Krio,City of London,0,0,81
598,African Language: Yoruba,City of London,0,0,82
599,African Language: Igbo,City of London,0,0,83
600,African Language: Luganda,City of London,0,0,84
601,African Language: Any other Nigerian language,City of London,0,0,85
602,Sign Language: British sign language,City of London,0,0,86
603,English (English or Welsh if in Wales),Croydon,296232,0.85504732,1
604,South Asian Language: Tamil,Croydon,5172,0.01492852,2
605,Other European Language (EU): Polish,Croydon,4940,0.01425887,3
606,South Asian Language: Gujarati,Croydon,4214,0.01216334,4
607,South Asian Language: Urdu,Croydon,3906,0.01127432,5
608,French,Croydon,2408,0.00695048,6
609,Portuguese,Croydon,2024,0.0058421,7
610,Turkish,Croydon,1482,0.00427766,8
611,South Asian Language: Malayalam,Croydon,1428,0.0041218,9
612,Spanish,Croydon,1378,0.00397747,10
613,South Asian Language: Bengali (with Sylheti and Chatgaya),Croydon,1166,0.00336556,11
614,African Language: Akan,Croydon,1162,0.00335401,12
615,South Asian Language: Panjabi,Croydon,1096,0.00316351,13
616,East Asian Language: All other Chinese,Croydon,1061,0.00306248,14
617,West or Central Asian Language: Persian-Farsi,Croydon,1020,0.00294414,15
618,Arabic,Croydon,1002,0.00289218,16
619,Other European Language (EU): Italian,Croydon,968,0.00279405,17
620,South Asian Language: Hindi,Croydon,762,0.00219945,18
621,African Language: Somali,Croydon,755,0.00217924,19
622,Other European Language (EU): Romanian,Croydon,736,0.0021244,20
623,Other European Language (EU): Lithuanian,Croydon,714,0.0020609,21
624,West Central Asian Language: Kurdish,Croydon,714,0.0020609,22
625,West-Central Asian Language: Pashto,Croydon,659,0.00190214,23
626,East Asian Language: Tagalog-Filipino,Croydon,641,0.00185019,24
627,Other European Language (EU): Bulgarian,Croydon,612,0.00176648,25
628,Other European Language (EU): Hungarian,Croydon,573,0.00165391,26
629,Other European Language (EU): German,Croydon,548,0.00158175,27
630,Russian,Croydon,503,0.00145186,28
631,Other Languages: All other languages,Croydon,457,0.00131909,29
632,Other European Language (non EU): Albanian,Croydon,427,0.0012325,30
633,Other European Language (EU): Greek,Croydon,416,0.00120075,31
634,East Asian Language: Cantonese Chinese,Croydon,373,0.00107663,32
635,Other European Language (EU): Slovak,Croydon,354,0.00102179,33
636,African Language: African language (all other),Croydon,346,9.99E-04,34
637,African Language: Yoruba,Croydon,341,9.84E-04,35
638,South Asian Language: South Asian Language (all other),Croydon,314,9.06E-04,36
639,East Asian Language: Japanese,Croydon,304,8.77E-04,37
640,African Language: Luganda,Croydon,286,8.26E-04,38
641,African Language: West African language (all other),Croydon,282,8.14E-04,39
642,Other European Language (EU): Czech,Croydon,273,7.88E-04,40
643,South Asian Language: Sinhala,Croydon,271,7.82E-04,41
644,African Language: Igbo,Croydon,233,6.73E-04,42
645,East Asian Language: Mandarin Chinese,Croydon,222,6.41E-04,43
646,African Language: Shona,Croydon,218,6.29E-04,44
647,South Asian Language: Nepalese,Croydon,215,6.21E-04,45
648,East Asian Language: Thai,Croydon,210,6.06E-04,46
649,Other European Language (EU): Dutch,Croydon,202,5.83E-04,47
650,African Language: Tigrinya,Croydon,194,5.60E-04,48
651,South Asian Language: Telugu,Croydon,184,5.31E-04,49
652,Sign Language: British sign language,Croydon,177,5.11E-04,50
653,African Language: Swahili-Kiswahili,Croydon,175,5.05E-04,51
654,South Asian Language: Marathi,Croydon,145,4.19E-04,52
655,East Asian Language: Vietnamese,Croydon,144,4.16E-04,53
656,African Language: Amharic,Croydon,141,4.07E-04,54
657,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Croydon,134,3.87E-04,55
658,East Asian Language: East Asian Language (all other),Croydon,134,3.87E-04,56
659,West or Central Asian Language: West or Central Asian Language (all other),Croydon,131,3.78E-04,57
660,African Language: Lingala,Croydon,130,3.75E-04,58
661,African Language: Afrikaans,Croydon,121,3.49E-04,59
662,Other European Language (EU): Swedish,Croydon,118,3.41E-04,60
663,African Language: Any other Nigerian language,Croydon,104,3.00E-04,61
664,Other European Language (EU): Danish,Croydon,81,2.34E-04,62
665,East Asian Language: Malay,Croydon,70,2.02E-04,63
666,East Asian Language: Korean,Croydon,64,1.85E-04,64
667,Other European Language (EU): Latvian,Croydon,61,1.76E-04,65
668,Other European Language (non EU): Northern European Language (non EU),Croydon,56,1.62E-04,66
669,Other European Language (non EU): Ukrainian,Croydon,54,1.56E-04,67
670,Other European Language (EU): Finnish,Croydon,53,1.53E-04,68
671,Other European Language (EU): Maltese,Croydon,53,1.53E-04,69
672,Sign Language: Any Sign Communication System,Croydon,53,1.53E-04,70
673,African Language: Krio,Croydon,35,1.01E-04,71
674,Other UK language: Total,Croydon,31,8.95E-05,72
675,Sign Language: Sign Language (all other),Croydon,30,8.66E-05,73
